Company Name,Location,Description,Website,Reason for Failure
Digital Chocolate,"San Mateo, California, United States","Digital Chocolate is a video game developer and publisher specialized in casual and social games for the web, Facebook, and mobile phones.",www.digitalchocolate.com,
Digital Domain Media Group,"Port St. Lucie, Florida, United States",Digital Domain Media Group is a digital visual effects and computer-generated animation company.,www.ddmg.co,
Dilithium Networks,"Petaluma, California, United States",Dilithium offered high-quality multimedia delivery over mobile and broadband networks to any device.,www.dilithiumnetworks.com,
Din,"San Mateo, California, United States","The best dishes from notable restaurants & chefs, developed for the home kitchen.",www.din.co/,
Dinner Lab,"New Orleans, Louisiana, United States",Dinner Lab is a membership-based social dining experiment that unites undiscovered chefs with adventurous diners who are looking for,dinnerlab.com,"The first problem Dinner Lab encountered had to do with the timing at which they offered the meals. Originally, the event would take place at midnight, but pretty soon the company team discovered people at 12:00 am of a weekend tended to be drunk and were both unreliable customers and not really enhancing the experience of the other participants. So, although the idea sounded adventurous and fun, it was impractical and people aren’t used to dine at midnight.

According to Dinner Lab CEO, the company was very challenging to manage as there always was a multitude of variables they had to keep up with, from the food served and its ingredients, to the location, diners registration and turnaround and the staff kept on changing.

Although most customers enjoyed the experience, people complained that there were never enough tickets and never enough events going on. In some cities, people who signed up for a membership which would include at least 2 events per month, ended up having only 1 event every 6 weeks while still having to pay a full subscription.

Dinner Lab blamed the difficulty of having more events on the dwindling running capital. They decided to hire contract workers instead of full-timers with the hope that would decrease the cost. Dinner Lab also tried to sell diners’ surveys to restaurants but without success. They finally found the model unsustainable and closed in 2016 after 5 years of operations.

‍Read more on:
https://www.forbes.com/sites/forbestreptalks/2016/05/24/how-dinner-lab-blew-through-10-million-on-a-failed-restaurant-startup/#16a37eb5c64a
https://www.entrepreneur.com/article/274171
https://techcrunch.com/2016/04/14/dinner-lab-suspends-operations-after-failing-to-find-a-sustainable-business-model/
https://www.crunchbase.com/organization/dinnerlab"
Direct Flow Medical,"Santa Rosa, California, United States",Direct Flow Medical designs and develops medical implants used in the treatment of aortic and heart valve diseases.,www.directflowmedical.com,
Distributed Masonry,"Seattle, Washington, United States","Distributed Masonry designs, builds, and supports real-time data storage and streaming products.",www.pyrostore.io,
Divshot,"Santa Monica, California, United States",Divshot is an HTML5 web hosting platform tailored for performance and developer productivity.,www.divshot.com/,
Doblet,"San Francisco, California, United States",Network of app-driven portable batteries.,doblet.com,
DoNanza,"Tel Aviv, Tel Aviv, Israel","DoNanza offers professional-level tools that enable freelancers to find new jobs, brand their business, and communicate with clients.",www.donanza.com,
Done.,"New York, New York, United States",Done. is a marketplace where talented locals create profiles to advertise their talents.,done.com,
Doorman,"San Francisco, California, United States","Doorman provides package delivery, return pickup, and fulfillment services for online retailers and their customers.",www.doorman.co/,
Doppler Labs,"San Francisco, California, United States",Doppler Labs is a wearable technology company creating products that enhance the way you experience your world.,hereplus.me/,
Double Fusion,"San Francisco, California, United States",Double Fusion provides web-based in-game advertising solutions that help marketers and agencies enhance user engagement.,doublefusion.com,
Doughbies,"San Francisco, California, United States",Freshly baked goods delivered when you want them. On Demand and Same Day in San Francisco and Next Day Delivery Nationwide.,www.doughbies.com/,
Dragos Security,"San Antonio, Texas, United States",Creator of CyberLens - software to give cyber situational awareness into critical infrastructure networks,www.dragossecurity.com,
DreamCSX,"Louisville, Tennessee, United States","Artificial Intelligence, Contact Center, and Data Analytics",dreamcsx.com,
DrinkAdvisor,"Nicosia, Nicosia, Cyprus",DrinkAdvisor International Mobile advisory geolocation service on the best bars and nightclubs worldwide.,www.drinkadvisor.com/,
DripApp,"London, England, United Kingdom",Prepaid coffee plans for London's best cafés.,www.dripapp.co/,
dristi.ai,"San Jose, California, United States","AI-driven Solutions for Media, Marketing and Healthcare",www.dristi.ai,
Drivr,"Copenhagen, Hovedstaden, Denmark",Drivr is the leading cloud-based ground transport platform for taxi and private hire companies.,drivr.com,
Dronesmith Technologies,"Henderson, Nevada, United States",Dronesmith makes development tools that enable technology providers to build drone applications through easy-to-use APIs.,dronesmith.io,
Dropifi,"Mountain View, California, United States","Dropifi provides a customized smart widget that allows companies to analyze, discover and re-channel messages.",dropifi.com,
"Dual Aperture International, Inc.","Santa Clara, California, United States",Smart sensor company using RGB-IR to improve picture quality and enable 3-D,www.dual-aperture.com,
Duriana,"Singapore, Central Region, Singapore",Duriana is a mobile marketplace that allows users to sell and buy products.,duriana.com,
DwellAware,"San Francisco, California, United States",We quantify risks & costs for businesses and their customers in the housing sector,DwellAware.com,
Dyyno,"Palo Alto, California, United States","Dyyno provides broadband delivery of TV, movie and mid-tail content to global audiences.",www.dyyno.com,
EagerPanda,"Portola Valley, California, United States",EagerPanda is building a world where all of human knowledge is well organized and easily accessible,www.eagerpanda.com,
ECOtality,"San Francisco, California, United States",ECOtality is an electric transportation and storage technologies company offering clean electric transportation and technology solutions.,www.ecotality.com,
eCullet,"Milpitas, California, United States","eCullet, a technology-based glass processing company, produces and markets glass cullet to glass container manufacturers.",www.ecullet.com,
Efflux Systems,"Catonsville, Maryland, United States",Efflux is the first scalable cybersecurity hunting platform to simplify and automate traditionally manual analytics.,www.effluxsystems.com/,
Egomotion,"San Francisco, California, United States","Agent determines what you're doing, shares it with close friends and family, and adjusts your phone to respond to your context.",—,
Emailvision,"London, England, United Kingdom",Emailvision is a UK-based email services and cloud-based marketing platform and CRM provider,—,
Emergent VR,"San Francisco, California, United States",Emergent is a technology startup building the next medium for communication using virtual reality.,www.emergentvr.com/,
Emjoyment,"Mountain View, California, United States",The place for business talent to break into tech.,www.emjoyment.com,
Employee Wow,"Austin, Texas, United States",Employee and Customer Ground Level Feedback Platform,employeewow.com,
Empower Network,"St. Petersburg, Florida, United States","Empower Network and its Viral Blogging System is the lucrative solution to a complicated online marketing world. Over 155,000 people agree.",www.empowernetwork.com/,
EmSense,"San Francisco, California, United States",EmSense provides scalable physiological and brainwave measurement technology.,emsense.com,
EnfraGen Capital,"New York, New York, United States",EnfraGen Capital operates as an investment management company.,—,
Enkata Technologies,"San Mateo, California, United States",Enkata's data intelligence solutions use machine data to help sales people and back office workers reach their full potential.,www.enkata.com,
Entrada,"Brentwood, Tennessee, United States",Entrada provides clinical documentation and information sharing technologies.,www.entradahealth.com,
Enumeral Biomedical,"New York, New York, United States","Enumeral Biomedical uses a nanotechnology-enabled process for therapeutic discovery, immune profiling and personalized medicine.",enumeral.com,
Envelop VR,"Bellevue, Washington, United States","Envelop VR builds software that enables people to create, work and play in virtual reality.",www.envelopvr.com,
EpiEP,"New Haven, Connecticut, United States",EpiEP is a medical device startup developing a novel access system to the pericardium of the heart.,www.epiep.com,
"Episona, Inc.","Pasadena, California, United States",Episona is an epigenetics data company focused on improving healthcare outcomes.,episona.com,
EquipRent.com,"Chicago, Illinois, United States",EquipRent.com offers commercial contractors and free access to lowest equipment rental quotes for construction projects.,—,
Esper,"Redwood City, California, United States",Assisting assistants. Enabling executives.,—,
Evatran Group,"Richmond, Virginia, United States",Plugless Power™ by Evatran is the world’s first hands-free proximity charging system for electric vehicles.,www.evatran.com,
Eve,"Headquarters, Idaho, United States","Eve provides easy access tools for non-programmers to develop computational programs, websites, databases, etc.",www.chris-granger.com/2014/10/01/beyond-light-t...,
Eveningflavors.com,"Bangalore, Karnataka, India",Eveningflavors.com is an online platform that enables individuals to browse through menus and book tables at restaurants in India.,www.eveningflavors.com,
Evercar,"Los Angeles, California, United States","Evercar provides cars, coaching, and community to drivers who want to maximize their earnings Uber and Lyft.",www.myevercar.com,
Everest,"San Francisco, California, United States",Everest is a SNS-based mobile app that enables users to share photos and experiences about the adventures and journeys in life.,everest.com,
Everloop,"Danville, California, United States","Everloop is a safe platform for kids to connect with friends, play games, share pictures, send messages, discover talents and learn.",www.everloop.com,
Evermind,"Nashville, Tennessee, United States","Evermind provides peace of mind to those who live alone, or who need extra support, and the people who care about them.",www.evermind.us,
Everpix,"San Francisco, California, United States",Everpix is the smart photo platform that gives you an effortless way to enjoy your life photo collection.,www.everpix.com,
EverythingMe,"Tel Aviv, Tel Aviv, Israel",EverythingMe is a launcher for Android devices that adds contextual capabilities to mobile phones.,everything.me,
EvoApp,"Durham, North Carolina, United States",EvoApp facilitates big data analysis by finding patterns in relevant conversations that impact business decisions.,www.evoapp.com,
Exec,"San Francisco, California, United States",Exec is a house cleaning service that users can book from their iPhone or the web in real-time.,iamexec.com,
ExpenseBot,"Cleveland, Ohio, United States",Automatic Expense Reports Powered by Predictive Analytics and Machine Learning,expensebot.com,
Eyegroove,"San Francisco, California, United States","Eyegroove is a social network for mobile video creativity that enables video editing, music presentation, and video effects.",eyegroove.com,
eZelleron,"Dresden, Sachsen, Germany","eZelleron focuses on the development of portable power supply, including accumulator systems and batteries.",www.ezelleron.com,
Fabricly,"New York, New York, United States","Fabricly is an online marketplace enabling designers to submit designs, and customers to pick and buy from apparel collections.",www.fabricly.com,
Fan TV,"San Mateo, California, United States","Fan TV, an entertainment discovery engine that allows people to find, watch, and share movies and TV shows on iOS, the web, and soon on TV.",www.fan.tv,
Fanbase,"San Francisco, California, United States",Fanbase is an online crowdsourced almanac of professional and college athletes.,www.fanbase.com,
Fanchimp,"Santiago, Region Metropolitana, Chile","Fanchimp is a service that helps online shop owners, who want to increase sales, easily become Facebook marketing wizards.",fanchimp.com,
FanSnap,"San Mateo, California, United States",FanSnap is a live event ticket search engine providing ticket marketplaces and broker ticket sites.,www.fansnap.com,
Fashion Playtes,"Boston, Massachusetts, United States","FashionPlaytes is where girls can get latest updates on fashion, express themselves, and have fun.",fashionplaytes.com,
Fentury,"Toronto, Ontario, Canada",Fentury is a money saving assistant app that helps you cut off unnecessary expenses and plan ahead.,www.fentury.com,
Fetch,"Oakland, California, United States","Fetch, an SMS-based human-powered buying assistant, launched at TechCrunch Disrupt NYC in 2014.",www.buywithfetch.com,
Fieldbook,"San Mateo, California, United States","Create a database, as easily as a spreadsheet",fieldbook.com,
Filely,"Dallas, Texas, United States","Filely is the world's best free file sharing service with unlimited free storage. Filely is 2,500,000 users strong and growing.",filely.com,
Final,"Oakland, California, United States",Final is issuing a credit card that gives consumers total control over their merchant relationships.,www.getfinal.com,
Financial Information Network & Operations Pvt,"Mumbai, Maharashtra, India",Financial Information Network & Operations provides technology and operational solutions for financial institutions.,www.fino.co.in,
Fitbay,"New York, New York, United States",Fitbay is a free photo sharing application that lets you see what people with your body and style are wearing.,fitbay.com,
FlashNotes (formerly luvolearn),"Cleveland, Ohio, United States",Flashnotes is the leading learning resource marketplace for college students.,www.luvolearn.com,
Fleksy Inc. (Closed),—,Fleksy is a third party virtual keyboard and input method for mobile devices.,—,
FlipGive,"Toronto, Ontario, Canada",FlipGive is a team commerce platform that connects merchants & consumers via the youth sports market,flipgive.com,
Flirtomatic,"London, England, United Kingdom","Flirtomatic is a social network enabling its members to discover new people, chat, send messages with graphics and photos, and find a date.",www.flirtomatic.com,
Float,"Los Angeles, California, United States",Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,hellofloat.com/,
Flud,"San Diego, California, United States",Flud is a mobile news ecosystem with a vision to empower its users to interact with each other to access broadcast content.,www.flud.it,"The reason for which Flud joined the graveyard list of failed startups was mainly that they were unable to raise additional funding for their operations. Despite its various ways to raise money (including making it an enterprise), the company failed to become profitable and eventually ran out of cash.

Another reason the company failure could be attributed to was the unreliable volume of demand. The market was already filled with similar products and the competition was too high. When Flud came to be, Flipboard and Pulse were already the leading franchise in the field.

An additional reason the company didn’t ultimately succeed was the lack of initial testing of the product. Moreover, they had sought the press too early on, without having a thoroughly tested product. The large media coverage the app received did Flud more damage than good because people, upon hearing about the app, would download it and try it out. Flud wasn’t expecting to have so many users download the app so soon and en masse, so they had suddenly had to deal with glitches and bugs. Having a faulty app when respected companies were praising it, might have cost them a bit of credibility and stopped the momentum they could have had.

Read more on:
https://techcrunch.com/2013/09/22/why-startups-fail-a-postmortem-for-social-newsreader-flud-and-what-to-take-from-sonars-demise/
https://www.crunchbase.com/organization/flud"
Flytenow,"San Francisco, California, United States",Flytenow connects you with pilots so you can get off the ground on the cheap,www.flytenow.com,
Focaloid Technologies,"Bangalore, Karnataka, India",Focaloid is a Digital Solutions providing Company that focuses on developing value adding technology solutions with user-engaging designs.,focaloid.com/,
Formation Data Systems,"Fremont, California, United States","Hyper-scale, Software-Defined dynamic storage platform",www.formationds.com,
Formspring,"San Francisco, California, United States",Formspring is a startup that helps people find out more about each other by sharing interesting & personal responses.,www.formspring.me,"As with any other platform that gains its attraction for its anonymous features, Formspring’s users rushed in, but as the user base increased so did the problems that were associated with anonymity. Cyberbullying came to the level that several teen suicides were linked to the bullying that took place on the site.

The startup tried to remedy by collaborating with the MIT Lab to search for a way to discourage cyberbullying. Eventually, the site had to limit the anonymity feature but that meant that it would lose its appeal, users started decreasing and growth simply froze.

If success leaves clues, so does failure. Many platforms that focused solely on anonymous interactions had to pull out the plug because of the predictable type of behavior that people tend to have when they can’t or don’t have to be accountable for their actions, even when those actions directly endangered the psychological or physical well-being of another human being.

Read more on:
https://www.theverge.com/2013/3/15/4110196/social-question-answer-site-formspring-shut-down-march-31st
http://blog.capwatkins.com/formspring-a-postmortem
https://en.wikipedia.org/wiki/Spring.me
https://www.crunchbase.com/organization/formspring"
fotopedia,"Palo Alto, California, United States",Fotopedia develops travel applications that feature photography from their online community.,fotopedia.com,
FoxBio,"Lafayette, Louisiana, United States",FoxBio is a Company that will develop Antoxerene’s collection of small molecules that target senescent cells.,—,
Frankly.me,"Noida, Uttar Pradesh, India",Frankly is for frank conversations.,frankly.me,"The first reason that was advanced for the shutting down of the platform after less than two years on the market was that it wasn’t able to raise the necessary round of funding.

However, Nikunj Jain, one of the CEO of Franlkly.me, wrote a post to specifically deny that funding had been the major issue. He attributed the failure of their platform to not being able “to achieve sustainable product market fit”. Jain went on to say that despite the widespread video consumption in the market, the video creation process seemed to be a challenge.

In fact, it might be unlikely that public figures could find the time to commit to using this specific platform to reply to their followers with vlogs for the long term, especially if there were other platforms that could connect them to an international audience.

Read more on:
https://venturedreams.in/2016/02/10/franklyme-shuts-down/
https://inc42.com/buzz/frankly-shutdown/
https://www.crunchbase.com/organization/frankly-me"
FREECULTR,"Haryana, Haryana, India","FREECULTR offers online, hassle-free apparel and accessory shopping experiences for both men and women.",www.freecultr.com,
FreeMonee,"San Mateo, California, United States",FreeMonee enables merchants to offer cash gifts to customers in motivating them to visit their stores.,www.freemonee.com,
Frontback,"San Francisco, California, United States",Frontback is a company producing an app for creating composite images from the front and rear cameras of iPhone handsets.,frontback.me,
FunnelFire,—,Sales information software,—,
Furlocity,"Schenectady, New York, United States",Provides a digital engagement platform that connects pet services businesses to the on-line pet parent community.,www.furlocity.com,
Gaifong,"Hong Kong, Hong Kong Island, Hong Kong",Gaifong is Hong Kong's No.1 Network for P2P Consumer Goods Rentals.,gaifongapp.com,
GameGround,"New York, New York, United States",GameGround offered a social skill gaming platform that turned online gaming into a social and competitive experience.,www.gameground.com,
Gamma 2 Robotics,"Denver, Colorado, United States","Gamma 2 Robotics has developed the only available intelligent and autonomous robots that detect and report on intruders, fire and more.",gamma2robotics.com,
GATe Technology,"Ho Chi Minh City, NA - Vietnam, Vietnam","GATe Technology provides embedded electronic systems and networked systems for the automotive, industrial, energy, and medical markets.",www.gate-technology.com,
GenieDB,"San Juan Capistrano, California, United States",GenieDB seamlessly manages database replication with globally distributed MySQL-as-a-Service with availability and fast response times.,www.geniedb.com,
Geodelic Systems,"Los Angeles, California, United States","Geodelic Systems is a startup that offers a white-label platform supporting mobile web, desktop web, and smart phone apps.",www.geodelic.com,
Geostellar,"Martinsburg, West Virginia, United States","Geostellar is a solar energy marketplace and patented platform to instantly & interactively tailor equipment, financing and installation.",www.geostellar.com,
GIE Medical,"Plymouth, Minnesota, United States",GIE Medical,—,
GINKGOTREE,"Detroit, Michigan, United States",Ginkgotree is a course content platform for teachers and trainers to build online curriculums.,ginkgotree.com,
Glassbreakers,"Oakland, California, United States",Inclusive Talent Development Software Solutions,www.glassbreakers.co/,
Glide Pharmaceutical Technologies,"Abingdon, Oxfordshire, United Kingdom",Glide Pharma is a specialty pharmaceutical company that develops products for the convenient delivery of biological medicines.,glide-technologies.com/,
"Glidecraft, LLC","Clifton, New Jersey, United States",Glidecraft is a national brand of hover boards and electric skateboards.,www.glidecraft.com,
Gliph,"San Mateo, California, United States",Gliph Marketplace saves buyers and sellers time and energy using a new peer-to-peer (P2P) transaction method called Deal Flow.,gli.ph,
Gobee.bike,"Wan Chai, Hong Kong Island, Hong Kong",Gobee.bike is a dock-less bike sharing company outside mainland China.,www.gobee.bike,
GoingOn,"San Francisco, California, United States","GoingOn offers an academic social networking platform for students, faculty and administrators to effectively connect and share knowledge.",www.goingon.com,
Gojimo,"London, England, United Kingdom",Gojimo is an education software company.,www.gojimo.com,
Goodvidio,"Thessaloníki, Thessaloniki, Greece",Helping brands and ecommerce stores use the power of product videos from social media for conversion rate optimization.,goodvid.io,
Gorilla Technology Group,"San Bruno, California, United States","Gorilla Technology Group, Inc. is an independent software solution and SaaS provider that specializes in Video technology and Analytics.",www.gorilla-technology.com/,
Gowalla,"Austin, Texas, United States","Gowalla is a social guide for its users to share and discover photos, experiences and recommendations of places and cities.",gowalla.com,"When the Gowalla team realized that their competitors in the check-in service were far ahead of them, it reinvents itself and tried to come up with a different design which was to support the newfound focus as a traveling and storytelling platform.

The main problem with Gowalla seemed to be that it tried to do and be too many things at once, whereas Foursquare, for one, focused on one or two basic services that users would infallibly go back to.

Gowalla had a better design and was aesthetically more pleasing, and yet FSQ, which launched in the densely populated New York, saw a rapid growth because users recommend it to their friends for the check-in and rewards features it offered and received social validation for using it, since ‘everyone’ was using it.

Funding was also probably not the main problem for the startup as Gowalla raised 3M in investments and partnered with giants such as Disney, National Geographic, and several major U.S. Universities.

Gowalla’s team joined Facebook in December 2011. Facebook claimed that it acquired the app but that it wouldn’t make use of the user data that it had generated over the years. FB representatives stated that they were rather more interested in partnering with the developers that brought forward the startup since they shared similar values and vision and could help enhance certain aspects of FB’s platform.

Read more on:
https://mashable.com/2012/03/11/gowalla-shuts-down/#aaUl59cCHSqm
https://www.searchenginejournal.com/why-gowalla-shut-shop-and-how-facebook-profits-from-its-acquisition/38635/
https://techcrunch.com/2011/12/https://www.crunchbase.com/organization/gowalla"
GrabFood,"London, England, United Kingdom","GrabFood is a same-day grocery delivery company, offering delivery in as little as one hour.",www.grabfood.co,
Grand St.,"New York, New York, United States",Grand St. is a curated marketplace for creative technology. A new era in electronics requires a new kind of store.,grandst.com,
GreenGoose!,"San Francisco, California, United States","GreenGoose creates sensors and applications that tracks and stores real life acts in a database, with a reward system for positive acts.",greengoose.com,
Greenling,"Austin, Texas, United States",Greenling is an online grocery store offering local delivery services for organic and locally-grown foods.,www.greenling.com,
GreenVolts,"Fremont, California, United States",GreenVolts is a solar startup that enables low cost power production.,www.greenvolts.com,
Greta,"Stockholm, Stockholms Lan, Sweden",Greta helps developers and companies to provide a better experience for Internet users.,greta.io/,
Greycork,"Providence, Rhode Island, United States","Greycork offers a range of interior design, home and garden design, and accessories for homes.",greycork.com,
Gridco,"Woburn, Massachusetts, United States",Gridco develops power management solutions for electric utilities.,—,
Griddable.io,"San Jose, California, United States",Salesforce has closed its acquisition of Griddable,griddable.io,
GridIron Software,"Ottawa, Ontario, Canada",GridIron Software creates a hybrid-SaaS solution offering enterprises automated and transparent data DNA collection and management systems.,www.gridironsoftware.com,
Gridstore,"Mountain View, California, United States",Gridstore is the leader in HyperConverged All-Flash Infrastructure for the Cloud-Inspired Data Center.,—,
Grokr,"Sunnyvale, California, United States",Grokr provides its users with a personalized search and discovery service that makes it easier to get information.,grokrlabs.com,
Grooveshark,"Gainesville, Florida, United States",Grooveshark is a free web-based music application that enables internet users listen to music on-demand.,grooveshark.com,"Grooveshark technology was worth of being admired, especially considering that it was an underfunded venture built by two college students who were learning about business as they went.

Grooveshark major weakness was that it illegally streamed music. The company was sued by multiple record labels and the app was subsequently banned from mobile marketplaces. The company shut down in April 2015 and the platform founder was found dead in his room a couple of months later.

Read more on:
https://www.theverge.com/2015/7/28/9054093/why-grooveshark-failed
https://www.makeuseof.com/tag/day-music-died-grooveshark-retrospective/
https://www.crunchbase.com/organization/grooveshark"
groupay,"London, England, United Kingdom","GrouPAY, a way to collect money online, is designed to help SMEs and individuals who regularly collect money from many people.",www.groupay.co.uk,
GroupSpaces,"London, England, United Kingdom","GroupSpaces is a membership management platform enabling groups to organize records, send newsletters, host forums and collect fees.",groupspaces.com,
Grove Instruments,"Worcester, Massachusetts, United States",Grove Instruments is a privately held pre-market medical device company developing non-invasive glucometers.,www.groveinstruments.com,
Guide,"Miami, Florida, United States",Guide is a software company transforming traditional web content into an audio-visual stream for curation and consumption on-the-go.,gui.de,
Guvera,"Gold Coast, Queensland, Australia",Guvera offers a system that enables free music downloads through engagement advertising.,www.guvera.com,"It went out of cash to operate and tried to sell itself to two potential buyers, but the potential sales were not successful and Beepi had to close operation.

The company had an incredibly high burn rate, spending about $7 million per month. The reasons for cash shortage were attributed mismanagement of funds to support expenditures unrelated to business such as covering the bills for the founders' partners and spendings unnecessary sums of money on expensive furnitures. At the same time, Beepi was also reported as giving disproportionately high salary and overtimes to its top management.

Besides having failed to manage the financial aspects of the startup, also Beepi’s logistics in buying and selling cars came short. Originally planning to complete an acquisition deal with Fair.com, one of its main competitors, that never happened and the company tried to negotiate with DGDG, but also this deal fell through. The company shut down in December 2016.

Read more on:
https://techcrunch.com/2017/02/16/car-startup-beepi-sold-for-parts-after-potential-exits-to-fair-and-then-dgdg-broke-down/
https://www.sramanamitra.com/2017/03/07/death-by-overfunding-beepi-towed-off-market/
https://www.wsj.com/articles/beepi-winding-down-after-burning-through-150-million-1487203816
https://www.crunchbase.com/organization/beepi"
GymHit Software,"Sacramento, California, United States",GymHit is a proactive business management platform for fitness businesses that is introducing a virtual manager for worklfow automation.,www.gymhit.com,
Halo Smart Labs,"Charlotte, North Carolina, United States",Halo Smart Labs develops solutions that alert home owners to hazardous conditions in and around the home.,www.halosmartlabs.com/,
Halolife,"San Francisco, California, United States",Halolife is an online platform that provides step-by-step guidance to plan and find a burial or cremation service that meets your needs.,halolife.com/,
Halt Medical,"Brentwood, California, United States",Halt Medical develops a uterine fibroid device that enables the removal of uterine fibroids without resorting to hysterectomy.,www.haltmedical.com,
Hana Biosciences,"San Francisco, California, United States",Hana Biosciences is a biopharmaceutical company developing and commercializing differentiated cancer therapies.,www.hanabiosciences.com,
HealthSpot,"Dublin, Ohio, United States",HealthSpot provides health care services and collaborates with health systems and retailers.,www.healthspot.net,
Heidi Ho Organics,"Portland, Oregon, United States","Plant-based foods that are made from all natural ingredients without any additives, fillers or preservatives",www.heidiho.com/,
Helicos BioSciences,"Cambridge, Massachusetts, United States","Helicos BioSciences Corporation (Helicos) is a life sciences company, which has developed technology focused on the research, drug",www.helicosbio.com,
Helios,"San Francisco, California, United States","Helios offers bicycle handlebars that integrate high-power LEDs, Bluetooth 4.0, and GPS tracking capabilities.",www.ridehelios.com,
Hello,"San Francisco, California, United States",Hello is a technology company that designs and produces consumer electronic hardware and accompanying software.,hello.is,
Hellocar,"London, England, United Kingdom",Hellocar is a website for buying used cars online without the need for a dealer.,www.hellocar.co.uk/,
HelloTel,"Chico, California, United States",HelloTel is a mobile app that turns any hotel check-in into a rich social network.,www.hellotelapp.com,
Helveta,"Abingdon, Oxfordshire, United Kingdom",Helveta provides supply chain and asset management software for food and timber industries.,www.helveta.com,
"Hero Network, Inc.","Cherry Hill, New Jersey, United States","Hero Network, Inc. is the world's first and largest social helping network.",www.heronetwork.com,
Hiku,"San Jose, California, United States","hiku is a connected device shopping platform with e-commerce partners in the U.K., France, Australia, and the U.S.",www.hiku.us,
Hive.im,"Hong Kong, Hong Kong Island, Hong Kong",Hive.im is a social network that enables file sharing and offers free unlimited cloud storage.,www.hive.im/,
Holodia SAS,"Strasbourg, Alsace, France",HOLOFIT is a VR Fitness Platform that works on all cardio fitness machines.,—,
HomeHero,"Santa Monica, California, United States",HomeHero is a non-medical home care provider that leverages technology and human compassion to extend the health system into the home.,www.homehero.org,
Homejoy,"San Francisco, California, United States",Homejoy is an online platform connecting professional cleaners with clients for $20 per hour.,www.Homejoy.com,
HomeShare,"San Francisco, California, United States",HomeShare is a co-living marketplace providing attractive yet affordable housing.,www.homeshare.com,
Homigo,"Bangalore, Karnataka, India",Homingo is company that helps clients to find the new way to fix and maintain their home.,homigo.in/,
Hopscotch,"San Francisco, California, United States",Hopscotch offers a mobile app that allows users to get personalized and relevant information.,www.usehopscotch.com,
HotelQuickly,"Hong Kong, Hong Kong Island, Hong Kong",HotelQuickly is a last-minute hotel booking app in Asia Pacific.,www.hotelquickly.com,
Howdy Ventures,"Chennai, Tamil Nadu, India",Howdy Ventures develops an application that combines events and groups features.,www.howdy.do,
Hoyos Corporation,"New York, New York, United States",Hoyos is an identity management technology solution company focused on developing systems for access control and the identity market.,www.hoyosgroup.com,
Hukkster,"New York, New York, United States","Hukkster, a shopping tool, allows users to track and mark products on websites and notifies them via text or email when they go on sale.",www.hukkster.com,
Hutchinson Technology,"Hutchinson, Minnesota, United States",Hutchinson Technology specializes in the design and manufacture of precision technologies for disk drive components and medical devices.,htch.com,
i.me,"Scottsdale, Arizona, United States","We are the next generation of Credit Bureaus, empowering people with the same tech that banks use to measure risk and much more.",www.i.me/,
Iambiq,"Washington, District of Columbia, United States",Iambiq helps organizations read and process large amounts of text-based data usually handled by humans.,www.iambiqtech.com,
iFunding,"New York, New York, United States",iFunding is a commercial real estate investment platform giving accredited investors access to investment opportunities online.,www.ifunding.com/,
IGT - Innovative Green Technologies,"Scottsdale, Arizona, United States",IGT - Innovative Green Technologies is a technology company dedicated to commercializing innovative green technology products.,www.innovativegreentech.com/,
iJento,"London, England, United Kingdom",iJento enables brands and businesses to integrate and analyze customer information across multiple channels and devices.,www.ijento.com,
Immediately,"San Francisco, California, United States",Helping salespeople spend more time selling,www.immediatelyapp.com/,
Immersv,"Emeryville, California, United States",Immersv is a virtual reality discovery and advertising platform.,immersv.co,
Imzy,"Salt Lake City, Utah, United States",Imzy aims to be a platform for genuine conversations with like-minded people.,www.imzy.com,
Inclinix,"Wilmington, North Carolina, United States","Inclinix focuses on customized Phase I-IV clinical enrollment solutions for pharmaceutical, biotechnology and medical device organizations.",inclinix.com,
Ingram Medical,"Sandy, Utah, United States","Ingram Medical improves the management of diabetes by providing quality testing supplies, oral medications and shipping services.",www.ingrammedical.com,
Inksedge,"Mountain View, California, United States",Inksedge is a modern Indian event communications company,www.inksedge.com,
Innobuddy,"Beijing, Beijing, China",INNOBUDDY—An Innovative Educational Evolution,www.innobuddy.com/,
Intelescope Solutions,"Stamford, Connecticut, United States","Intelescope Solutions is a provider of analytic services, extracting data from satellite, and drone imagery.",www.intelescope.com,
Interactive Fitness,"Sunnyvale, California, United States","Interactive Fitness offers indoor workout equipment with virtual reality programs, creating the similar effects of an outdoor workout.",ifholdings.com,
International Battery,"Allentown, Pennsylvania, United States","International Battery, a green tech company, produced environment friendly, large format, and rechargeable lithium-ion cells and batteries.",www.internationalbattery.com,
